show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,content_age
s2134,TV Show,Teenage Bounty Hunters,Unknown,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams, Mackenzie Astin, Shirley Rumierk, Myles Evans, Devon Hales, Spencer House, Eric Graise, Charity Cervantes, Wynn Everett, Method Man",United States,2020-08-14,2020,TV-MA,1 Season,Crime TV Shows,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.,2020.0,8.0,6.0
s2134,TV Show,Teenage Bounty Hunters,Unknown,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams, Mackenzie Astin, Shirley Rumierk, Myles Evans, Devon Hales, Spencer House, Eric Graise, Charity Cervantes, Wynn Everett, Method Man",United States,2020-08-14,2020,TV-MA,1 Season,TV Comedies,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.,2020.0,8.0,6.0
s2134,TV Show,Teenage Bounty Hunters,Unknown,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams, Mackenzie Astin, Shirley Rumierk, Myles Evans, Devon Hales, Spencer House, Eric Graise, Charity Cervantes, Wynn Everett, Method Man",United States,2020-08-14,2020,TV-MA,1 Season,TV Dramas,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.,2020.0,8.0,6.0
s7051,TV Show,I'm Sorry,Unknown,"Andrea Savage, Tom Everett Scott, Olive Petrucci",United States,2019-09-13,2019,TV-MA,2 Seasons,TV Comedies,"Life is a series of awkward situations for comedy writer and mom Andrea, thanks to plenty of neuroses and a knack for sticking her foot in her mouth.",2019.0,9.0,7.0
s8148,TV Show,Taken,Unknown,"Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert",France,,2018,TV-14,2 Seasons,Crime TV Shows,"After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.",,,
s8148,TV Show,Taken,Unknown,"Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert",France,,2018,TV-14,2 Seasons,TV Action & Adventure,"After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.",,,
s8148,TV Show,Taken,Unknown,"Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert",France,,2018,TV-14,2 Seasons,TV Thrillers,"After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.",,,
s8148,TV Show,Taken,Unknown,"Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert",United States,,2018,TV-14,2 Seasons,Crime TV Shows,"After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.",,,
s8148,TV Show,Taken,Unknown,"Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert",United States,,2018,TV-14,2 Seasons,TV Action & Adventure,"After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.",,,
s8148,TV Show,Taken,Unknown,"Clive Standen, Jennifer Beals, Gaius Charles, Brooklyn Sudano, Monique Gabriela Curnen, Michael Irby, James Landry Hébert, Jose Pablo Cantillo, James Landry Hebert",United States,,2018,TV-14,2 Seasons,TV Thrillers,"After a personal tragedy upends his life, a highly skilled former Green Beret is drawn into a career as a secret government operative.",,,
s6932,Movie,Harriet the Spy: Blog Wars,Ron Oliver,"Jennifer Stone, Kristin Booth, Wesley Morgan, Doug Murray, Shauna MacDonald, Jason Blicker, Jayne Eastwood, Melinda Shankar, Alexander Conti, Vanessa Morgan",United States,2018-04-15,2010,TV-G,87 min,Children & Family Movies,Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.,2018.0,4.0,8.0
s6932,Movie,Harriet the Spy: Blog Wars,Ron Oliver,"Jennifer Stone, Kristin Booth, Wesley Morgan, Doug Murray, Shauna MacDonald, Jason Blicker, Jayne Eastwood, Melinda Shankar, Alexander Conti, Vanessa Morgan",United States,2018-04-15,2010,TV-G,87 min,Comedies,Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.,2018.0,4.0,8.0
s6932,Movie,Harriet the Spy: Blog Wars,Ron Oliver,"Jennifer Stone, Kristin Booth, Wesley Morgan, Doug Murray, Shauna MacDonald, Jason Blicker, Jayne Eastwood, Melinda Shankar, Alexander Conti, Vanessa Morgan",Canada,2018-04-15,2010,TV-G,87 min,Children & Family Movies,Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.,2018.0,4.0,8.0
s6932,Movie,Harriet the Spy: Blog Wars,Ron Oliver,"Jennifer Stone, Kristin Booth, Wesley Morgan, Doug Murray, Shauna MacDonald, Jason Blicker, Jayne Eastwood, Melinda Shankar, Alexander Conti, Vanessa Morgan",Canada,2018-04-15,2010,TV-G,87 min,Comedies,Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.,2018.0,4.0,8.0
s7118,Movie,Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",India,2017-10-15,2013,TV-14,132 min,Dramas,A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.,2017.0,10.0,9.0
s7118,Movie,Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",India,2017-10-15,2013,TV-14,132 min,Independent Movies,A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.,2017.0,10.0,9.0
s7118,Movie,Jal,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh",India,2017-10-15,2013,TV-14,132 min,International Movies,A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.,2017.0,10.0,9.0
s1047,Movie,Only Mine,Michael Civille,"Amber Midthunder, Brett Zimmerman, Chris Browning, Walter Fauntleroy, Claudia Ferri, Lorenzo James Henrie, Ellen Wroe, Ashley Holliday Tavares, Nancy Linehan Charles, Jonna Walsh",United States,2021-04-15,2019,TV-14,88 min,Thrillers,"After dating a charming cop who turns into an obsessive stalker, a small-town girl must save herself from his deadly ways.",2021.0,4.0,5.0
s5107,Movie,Bibi & Tina: Tohuwabohu Total,Detlev Buck,"Lina Larissa Strahl, Lisa-Marie Koroll, Louis Held, Lea van Acken, Emilio Sakraya, Michael Maertens, Martin Seifert",Germany,2017-12-27,2017,TV-14,106 min,Children & Family Movies,Teen witch Bibi and her pal Tina return to the screen to reconcile a runaway girl with her narrow-minded family and save Falkenstein Castle from chaos.,2017.0,12.0,9.0
s5107,Movie,Bibi & Tina: Tohuwabohu Total,Detlev Buck,"Lina Larissa Strahl, Lisa-Marie Koroll, Louis Held, Lea van Acken, Emilio Sakraya, Michael Maertens, Martin Seifert",Germany,2017-12-27,2017,TV-14,106 min,Music & Musicals,Teen witch Bibi and her pal Tina return to the screen to reconcile a runaway girl with her narrow-minded family and save Falkenstein Castle from chaos.,2017.0,12.0,9.0
s6568,Movie,Darna Mana Hai,Prawal Raman,"Aftab Shivdasani, Antara Mali, Boman Irani, Isha Koppikar, Nana Patekar, Raghuvir Yadav, Rajpal Yadav, Revathy, Saif Ali Khan, Sameera Reddy, Sanjay Kapoor, Shilpa Shetty, Sohail Khan, Vivek Oberoi",India,2019-08-01,2003,TV-MA,116 min,Horror Movies,"Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves.",2019.0,8.0,7.0
s6568,Movie,Darna Mana Hai,Prawal Raman,"Aftab Shivdasani, Antara Mali, Boman Irani, Isha Koppikar, Nana Patekar, Raghuvir Yadav, Rajpal Yadav, Revathy, Saif Ali Khan, Sameera Reddy, Sanjay Kapoor, Shilpa Shetty, Sohail Khan, Vivek Oberoi",India,2019-08-01,2003,TV-MA,116 min,International Movies,"Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves.",2019.0,8.0,7.0
